City,Lattitude,Max Temperature,Humidity,Cloudiness,Wind Speed
shache,38.42,40.23,43,0,4.7
sheridan,39.65,46,48,20,5.82
tera,34.97,59,87,20,8.05
brae,60.4,39.2,94,20,14.99
nishihara,35.74,57,29,0,4.7
qaanaaq,77.48,-30.87,98,0,8.95
tsihombe,21.46,77.22,100,12,14.99
cockburn town,71.98,0.54,73,68,10.07
khatanga,-33.64,79,41,48,8.39
busselton,-0.74,78.8,78,20,9.17
puerto ayora,-34.53,69.8,88,32,3.36
bredasdorp,-33.21,77.22,85,0,4.36
jamestown,70.62,-11.16,74,36,4.36
chokurdakh,-29.9,59,82,0,4.7
la serena,-53.16,48.2,81,75,29.97
punta arenas,-37.83,69.8,68,12,3.36
mount gambier,45.36,27,45,20,13.87
saint-philippe,19.71,75.2,64,90,14.99
hilo,-33.59,69.01,96,88,3
port alfred,22.08,77,50,40,24.16
kapaa,59.7,37,93,90,13.42
nikolskoye,42.84,50.58,47,0,7.72
hami,61.47,43.11,100,20,8.05
vagur,-38.31,63.99,80,0,8.84
raga,59.08,16.74,72,68,4.92
barrow,-2.92,75.78,94,8,3.36
palana,6.8,80.6,74,20,11.41
itarema,65.61,15.8,85,92,3.36
georgetown,38.52,61.29,95,0,8.95
tasiilaq,42.65,30.2,39,90,4.7
ribeira grande,39.45,54,81,0,1.68
albany,47.66,28,63,90,24.16
saint george,-34,68.13,87,80,11.97
torbay,14.9,70.56,98,12,11.86
kruisfontein,-2.54,85.77,94,0,5.59
sao filipe,22.89,69.01,68,75,2.8
taolanaro,68.31,1.98,100,48,11.74
sampit,59.06,18.45,85,20,3.69
cabo san lucas,52.47,41,93,8,9.17
kangaatsiaq,35.73,54,42,20,4.7
kargasok,-34.72,70.02,83,12,10.74
broome,11.76,72.63,24,20,10.4
hasaki,-46.19,71.73,62,44,8.95
port lincoln,69.44,24.8,85,40,6.93
dutse,54.32,57.2,54,90,10.29
mataura,-34.42,63,97,56,3.13
tuktoyaktuk,36.62,73.99,55,1,3.36
prince rupert,33.08,60.8,67,40,10.29
grand centre,-20.34,75.2,94,20,5.82
hermanus,62.21,35.6,80,92,6.71
pacific grove,-46.43,56.25,57,0,25.28
camacha,73.51,26.91,95,88,17.11
bambous virieux,51.71,33.75,83,44,4.14
kondopoga,71.97,-16.65,48,0,3.13
mar del plata,-9.8,82.71,100,68,15.21
dikson,45.6,44.01,86,40,4.7
katangli,-28.77,71.19,85,8,5.93
saleaula,0.7,87.3,64,24,4.92
saskylakh,-3.99,86.76,76,8,3.69
illoqqortoormiut,39.31,41,69,1,2.91
atuona,28.89,59.85,82,0,3.13
souillac,13.78,80.82,94,48,14.09
richards bay,-18.17,71.55,89,68,4.59
sungairaya,-33.02,72.99,100,92,10.74
kendari,-54.81,44.6,93,90,16.11
port elizabeth,55.46,39,86,56,9.17
huilong,-0.6,83.25,100,0,2.35
gigmoto,5.28,84.2,74,75,3.36
catalao,-7.63,77,94,0,2.35
east london,8.96,57.2,62,20,6.93
ushuaia,68.22,46.4,42,20,8.05
ayr,55.34,51.8,93,90,8.05
hithadhoo,48.53,28.8,86,12,2.57
victoria,72.79,-11.7,100,20,9.4
sentyabrskiy,50.23,14,61,20,20.8
cruzeiro do sul,-25.41,56.79,92,0,1.45
lebu,47.99,39,74,0,1.01
aklavik,78.22,12.2,78,75,13.87
ketchikan,-3.41,81,83,0,2.24
kostyantynivka,29.7,55.4,81,1,8.05
upernavik,44.83,44.01,93,8,4.7
havre-saint-pierre,57.69,7.38,77,32,3.58
taltal,-23.58,84.78,78,8,4.36
konstantinovka,15.89,85.05,67,32,2.13
longyearbyen,30.38,51.8,87,20,3.36
paracuru,-21.21,84.2,83,12,16.11
morgan city,-16.48,84.69,100,36,8.05
saint-augustin,-33.69,70.2,97,92,15.88
ust-ishim,34.7,61,32,20,8.05
bluff,-23.12,78.75,100,80,21.47
bani,-43.03,69.01,56,75,5.82
tehri,20.89,78.8,44,40,14.99
avarua,-42.48,51.8,71,0,8.05
faanui,29.96,50.58,100,92,12.41
chuy,-26.65,58.86,91,0,12.75
shimoda,57.8,17.82,80,12,11.41
rikitea,43.74,30,77,80,3
margate,-22.97,77,96,75,1.12
asfi,4.39,75.2,94,0,2.68
kahului,71.64,-13.41,81,24,4.14
castro,-42.78,69.01,56,75,5.82
shenjiamen,4.14,80.37,100,68,2.8
luderitz,7.04,75.2,94,90,5.82
tigil,60.91,41,38,88,11.41
goderich,45.34,44.6,70,0,2.24
bafra,50.68,29.61,98,56,10.18
hendijan,11,84.51,59,8,16.78
mys shmidta,-5.2,80.6,94,20,5.82
arraial do cabo,46.45,38.97,62,88,6.82
bangui,41.1,64.89,40,0,11.18
tiksi,55.74,28.4,63,20,3.36
attawapiskat,24.92,64,54,0,13.42
new norfolk,5.88,77,83,56,3.36
meulaboh,2.82,87.8,43,0,12.75
naftah,-42.88,69.01,56,75,5.82
kloulklubed,48.94,55,76,20,4.7
narsaq,-2.73,57.51,97,0,2.57
novska,-34.85,89.01,53,0,8.05
severo-kurilsk,60.14,32.04,94,68,15.21
dingle,-11.22,64.26,93,24,3.36
touros,38.73,59,93,40,6.6
vostok,21.05,80.6,65,40,4.7
nanpiao,38.18,62.6,48,0,10.29
bengkulu,-19.98,75.2,94,20,5.82
thompson,-6.28,87.01,74,20,6.93
lianran,10.49,69.21,93,80,3.02
nieuw amsterdam,-37.04,64.4,68,56,9.17
boa vista,69.22,-0.41,59,24,13.87
hobart,11.61,79.47,72,8,18.45
ucluelet,50.56,34,78,56,3.69
longido,40.54,39.99,94,0,3
palmer,4.94,75.2,83,0,1.12
nanortalik,24.63,53.6,32,0,5.82
chama,-1.2,76.32,96,68,4.14
praia da vitoria,62.45,37.4,51,20,4.7
teya,40.16,51.01,87,0,4.7
fortuna,20.2,65.34,29,64,2.8
mrirt,-30.51,69.93,97,92,5.7
cap malheureux,-19.8,86,70,40,8.05
sakakah,65.8,-0.99,67,20,3.13
makasar,-27.93,84,69,40,11.41
moron,67.56,29.61,90,92,4.7
cabrero,36.62,55,93,0,4.7
ilulissat,-30.17,72.99,91,68,13.31
amderma,5.43,75.2,100,20,2.57
punta cardon,-13.71,71.6,73,0,18.34
husavik,-28.65,84.2,100,40,10.29
guarda,-31.97,84.2,26,0,6.93
cayenne,33.93,48.2,61,75,3.36
riyadh,51.02,46,75,80,11.41
carutapera,5.38,78.57,97,88,10.85
yellowknife,-17.53,89.6,66,40,2.24
buarcos,22.04,69.8,88,75,6.93
gurupa,-43.53,66,77,0,8.05
tessalit,-8.49,80.01,100,76,10.85
cacapava do sul,46.84,23.22,100,48,18.68
pangai,18.9,62.28,19,0,8.05
turukhansk,59.7,6.39,60,36,8.72
clifton,-45.58,41,80,64,27.51
kovdor,-13.19,69.48,92,0,3.02
fethiye,22.58,71.73,84,88,12.64
cidreira,45.52,68,25,1,19.46
naze,64.86,46.4,36,75,9.17
pisco,67.46,-13.5,41,20,3.69
byron bay,67.8,-10.08,64,12,4.14
broken hill,53.05,17.37,80,68,2.46
katsuura,55.82,36,94,90,8.95
bideford,37.18,57.15,44,80,17.34
sinnamary,9.85,77.85,83,0,2.57
tiarei,39.57,57.2,71,20,20.8
harindanga,51.04,46,75,80,11.41
christchurch,29.7,56.88,80,0,2.35
bokspits,-0.92,80.6,83,20,2.24
merauke,63.84,41,93,75,12.75
balkhash,67.67,24.12,88,88,12.97
araouane,57.78,32.58,94,88,14.43
arman,63.91,31.86,87,88,12.64
coihaique,41.28,27.72,75,0,1.68
ambilobe,19.1,61.38,100,0,9.95
pirojpur,68.75,-11.79,56,20,7.72
portland,13.22,78.8,74,75,16.11
college,-30.65,48.69,87,0,2.8
srednekolymsk,3.07,77.22,100,92,16.22
batagay-alyta,13.64,71.19,16,0,11.97
beya,67.55,16.92,89,76,11.63
marcona,6.12,77,100,75,5.82
grand river south east,24.35,68.22,55,12,2.68
opalikha,-15.62,69.75,97,36,3.13
laizhou,63.45,5.94,64,56,3.91
idukki,-35.36,71.6,73,75,10.29
manacor,63.75,-20.01,68,5,14.99
northam,10.57,81.99,100,0,4.92
tiznit,41.84,32.49,83,92,3.47
padang,56.96,25.65,67,44,5.93
korla,-31.43,84,61,64,2.24
grindavik,-33.93,69.01,93,0,11.41
naryan-mar,-17.73,89.6,66,40,2.24
bezhetsk,4.87,82.71,99,20,7.16
bacuit,-4.8,65.88,90,64,2.24
onega,-22.95,61,87,0,8.05
poum,15.34,68,49,0,4.25
burica,64.84,46.4,36,75,9.17
sawakin,68.05,26.55,90,88,10.96
cherskiy,-46.28,68.13,74,8,5.93
bathsheba,34.31,57.2,54,0,11.18
de aar,37.38,64.99,34,80,5.99
butaritari,-15.19,77.13,100,8,2.68
moussoro,37.17,52,43,0,1.99
komsomolskiy,62.23,32,100,12,3.36
bargal,39.62,43,30,40,4.7
hambantota,-10.75,71.73,100,64,9.62
lolua,-30.97,51.12,80,0,3.69
jati,50.7,57.2,58,5,3.36
luangwa,70.86,21.87,100,0,9.73
andenes,20.52,62.19,30,32,8.16
verkhnevilyuysk,3.87,74.25,96,20,1.34
ulladulla,54.43,31.95,91,0,15.66
iqaluit,43.52,41,52,40,2.13
kavaratti,35.19,42.8,75,0,5.82
borjomi,-0.54,59.31,97,48,2.68
novobiryusinskiy,4.92,76.77,93,12,4.92
port macquarie,-2.67,81.36,100,68,15.43
cape town,-12.58,80.46,100,76,4.14
tautira,65.42,12.6,92,76,10.96
axim,10.24,77,88,20,4.7
lushoto,65.68,28.4,79,0,6.93
walvis bay,47.57,22.32,87,36,17.11
vaini,65.4,13.14,71,24,8.72
fairbanks,64.42,10.4,78,90,17.9
ostrovnoy,-38.55,66,95,0,9.17
kaitangata,-6.48,69.48,98,12,2.24
xianyang,-0.9,75.87,98,8,4.7
binzhou,-21.91,64.17,95,0,3.02
namibe,60.89,7.47,51,0,3.69
sitka,46.07,50,29,0,22.37
klaksvik,20.71,75.2,83,90,6.93
vardo,38.81,41.85,82,0,6.15
barranca,5.28,84.2,74,75,3.36
carnarvon,62.16,10.71,52,36,3.8
port hardy,57.07,22.77,93,80,8.16
berlevag,3.51,62.82,63,0,5.26
atar,29.16,44.73,72,0,2.91
inirida,11.67,78.8,88,20,1.12
cockburn harbour,49.72,15.8,47,75,3.36
sobolevo,55.6,2.61,57,0,2.91
labrea,-9.67,77,88,20,4.7
hailey,-21.48,76.59,84,24,4.03
oda,62.65,6.93,53,0,3.58
embu,35.24,55.4,28,20,3.36
yenagoa,-4.97,71.82,95,24,1.57
vanimo,-20.41,75.2,94,20,5.82
benguela,50.56,28.44,76,0,7.16
maniitsoq,59.24,9.63,100,56,3.36
esperance,33.19,51.8,61,1,2.68
akureyri,7.53,79.83,91,32,4.59
saryshagan,44.85,31.05,100,0,2.46
channel-port aux basques,-5.67,84.24,98,64,9.84
muzhi,-35.17,76.32,65,64,8.39
provideniya,-3.31,83.79,100,0,4.14
necochea,66.32,1.71,83,64,3.02
kasongo-lunda,58.61,39.99,69,0,26.4
puerto baquerizo moreno,27.97,57.69,72,0,7.61
tobane,4.91,75.2,100,75,4.7
amga,-8.65,84.2,79,20,9.17
nizhneyansk,-39.03,71.6,37,0,9.17
zhaodong,-4.05,79.56,87,0,1.57
ixtapa,34.06,57.2,54,0,11.18
borba,13.07,78.8,74,75,16.11
labuan,-43.3,56.88,54,0,13.31
suntar,43.26,32,74,20,6.93
pervomayskoye,7.87,77.49,86,8,8.61
kaabong,50.67,42.01,65,40,11.41
viligili,25.21,71.37,72,0,6.71
waddan,24.14,75.33,87,0,6.38
port blair,49.74,15.66,63,0,2.91
geraldton,-0.39,60.8,87,75,6.93
sargatskoye,37.14,57.2,76,0,8.05
maceio,12.47,86,58,20,9.17
jardim,24.09,57.2,30,0,6.93
khandyga,-16.11,77,94,20,5.03
soddy-daisy,56.37,29.16,93,80,11.18
tawkar,44.55,26.6,57,1,3.36
lusambo,20.04,77.22,100,12,6.6
mahebourg,60.75,35.1,91,76,4.36
lypova dolyna,40.33,43,60,20,5.03
ossora,69.7,-7.38,90,80,17.67
avera,-41.87,51.8,71,0,8.05
bonthe,42.44,39.99,69,0,2.13
sudak,-25.17,73.08,80,68,3.02
kuche,29.22,64,71,92,3.58
bardiyah,69.38,-1.08,89,80,28.74
tual,26.35,69.8,60,75,10.29
ahipara,66.15,-16.11,91,24,11.3
amahai,-7.75,82.4,78,75,6.93
egvekinot,-20.07,83.52,80,32,10.63
varhaug,-10.62,81,100,64,7.61
guerrero negro,-9.43,80.64,88,76,2.68
berdyuzhye,30.42,53.6,93,0,5.82
rosarito,18.39,55.4,76,0,6.93
denpasar,37.72,59,87,20,6.93
general roca,3.81,72.54,70,0,11.97
belushya guba,-2.97,80.64,66,0,1.23
indramayu,7.38,77.13,90,20,7.94
bairiki,-6.34,86,74,20,6.93
yuxia,-18.83,69.48,83,92,0.89
oistins,41.88,55.99,87,5,6.93
rawson,29.11,55.35,9,0,10.4
hamilton,25.22,73.35,53,92,9.62
palabuhanratu,-8.11,75.24,100,80,1.45
wukari,36.69,51.8,93,90,23.04
warmbad,23.99,61,29,90,5.82
ormara,19.55,75.2,64,20,6.93
keti bandar,13.79,75.24,29,0,10.07
zyryanovsk,30.78,44.82,73,0,2.13
san cristobal,5.56,86.31,68,8,4.03
lagoa,32.47,59,28,1,4.7
vaitupu,46.13,53.6,93,75,10.29
boaco,-8.93,78.57,76,68,1.9
aswan,59.1,37.62,97,92,7.72
marovoay,37.51,52,87,0,1.9
strunino,-20.63,68.04,91,8,2.91
gangotri,-2.08,73.89,82,32,2.24
rumford,36.22,46.4,39,20,2.24
niquero,53.05,24.8,58,20,4.47
haines junction,8.25,64.62,80,12,3.58
basco,-2.57,82.44,100,36,4.14
pevek,-3.36,81.27,70,44,2.91
ancud,53,17.37,80,68,2.46
dukat,70.03,27.27,100,0,17.78
beloha,-19.55,89.6,55,40,5.82
hutang,12.66,84.15,42,0,13.2
leningradskiy,42.77,46.99,80,0,6.93
gushikawa,-29.95,59,82,0,4.7
pangnirtung,-8.76,77.13,93,20,1.9
itamaraca,49.76,34,94,88,4.7
charters towers,43.32,35.6,51,20,11.41
samarai,-28.62,75.15,89,48,16.78
honiara,-9.11,76.86,100,80,3.91
agadir,60.79,28.4,73,1,8.05
faya,51.26,6.8,50,1,6.93
dieppe bay,5.67,83.79,100,44,7.16
vila franca do campo,44.08,30,68,20,4.7
wajid,65.28,46.4,42,75,10.29
rantepao,39.95,45,41,90,5.82
yaan,-20.56,85.41,65,44,7.16
karaton,59.64,48.2,66,1,9.17
abapo,-8.9,79.47,91,76,4.25
mentok,-3.7,76.77,92,64,3.58
vieste,50.37,37.35,89,0,11.18
bam,-26.8,88,69,40,9.17
balurghat,58.36,17.91,87,0,7.49
singaraja,23.57,70.2,34,0,5.93
barentsburg,-12.29,63.09,90,0,3.02
fereydun kenar,-20.25,71.6,88,0,2.68
constitucion,58.81,55.4,24,40,3.36
mao,53.14,15.8,92,20,8.95
nioro,48.95,21.2,73,90,16.11
lata,27.52,75.2,29,40,4.7
primore,59.57,24.84,66,8,8.61
banda aceh,70.66,21.2,67,75,20.8
sweetwater,-14.47,87.8,62,0,8.05
mier,10.62,84.2,74,40,9.17
airai,49.78,6.8,84,90,8.05
svetlyy,-33.01,66.2,68,0,2.24
vao,48.12,57.2,50,1,5.82
tripoli,31.86,46.44,56,0,2.68
ponta do sol,45.43,46,10,76,10.18
sungaipenuh,48.64,41,80,75,13.87
mikuni,59.56,7.92,100,32,4.03
petropavlovsk-kamchatskiy,4.95,83.16,98,0,8.28
gambela,30.04,57.2,47,1,4.59
kavieng,51.89,46,86,75,10.29
nabire,-38.22,72,50,56,3.24
mayna,-16.85,79.29,54,68,5.14
skjervoy,-1.82,77.49,95,100,3.02
isangel,34.62,39.78,88,0,9.17
el viejo,5.88,78.84,99,36,12.97
muros,19.29,73.4,94,0,2.24
coquimbo,16.38,69.8,73,5,14.99
boca do acre,52.25,19.89,75,68,4.36
frolovo,58.3,48.99,87,90,25.28
nemuro,-34.04,68,94,76,6.93
jaguaruna,62,32,100,8,3.36
atambua,30.3,57.2,35,1,6.93
bethel,48.95,39.2,100,40,10.29
moose factory,33.6,53.6,71,24,2.24
ugoofaaru,12.01,76.77,74,24,5.14
shelburne,-13.61,74.79,72,8,3.8
norman wells,-21.64,81.63,100,48,3.36
kodiak,34.64,73.99,42,1,5.82
koumac,70.47,-20.21,68,1,16.11
homer,-16.52,84.51,99,64,7.27
sao jose da coroa grande,-2.03,81,83,75,8.05
pimentel,20.86,82.44,71,24,3.69
kamthi,53.6,17.6,72,0,6.71
dovbysh,-34.05,69.48,97,24,11.97
caloundra,13.13,79.83,83,64,9.06
togur,54.52,50,76,90,3.36
rapar,-19.11,66.2,100,75,3.36
lundazi,-5.32,82.8,86,24,2.91
praia,-0.46,73.89,87,36,6.71
fort nelson,2.34,70.56,64,0,7.27
svetlogorsk,-16.7,84.78,97,48,7.16
corner brook,-9.87,72.72,95,48,2.35
laguna,-0.93,65.61,97,88,3.58
amot,14.4,49.95,82,0,2.35
hammerfest,-41.05,73,64,0,7
katherine,47.92,28.4,36,0,2.24
kampot,34.74,63,50,40,14.99
chapais,62.53,-6.93,67,56,7.94
russell,54.91,23.76,64,80,7.38
port townsend,36.59,46.4,56,1,4.7
nalut,50.1,30.2,68,75,4.7
kropotkin,-10.95,63.09,94,20,3.02
wanning,-29.69,68.4,97,92,8.16
magadan,38.4,25.47,82,0,4.36
sassandra,48.61,30.2,80,1,4.7
nome,25.72,76.14,100,76,3.47
mahon,47.69,42.8,48,1,2.01
tokoroa,-1.4,83.07,100,0,5.93
aracuai,56.07,39.2,86,32,9.17
cururupu,27.75,60.8,54,90,4.7
tikrit,29.1,64.71,69,56,2.35
skeldon,62.58,35.6,97,92,24.16
chiang klang,20.03,61.74,85,56,10.51
champerico,-26.67,70.65,98,80,3.69
klyuchi,-8.13,74.61,73,0,4.7
juneau,53.86,24.57,39,0,5.7
ruatoria,52.08,27,93,88,3
knysna,35.7,9.9,84,36,0.45
argir,49.87,39.99,85,20,9.17
harper,39.15,75.2,27,1,6.93
saint-pierre,0.12,83.79,88,0,8.28
tabas,27.51,60.8,51,1,4.7
bluefields,-29.46,78.8,50,0,6.93
riacho de santana,25.02,56.07,100,0,10.4
sao joao da barra,27.03,51.21,48,0,8.16
lompoc,16.71,77,88,40,3.36
ngukurr,-6.83,71.64,90,68,6.04
clyde river,63.93,32.67,85,92,8.72
vaitape,50.72,44.01,86,0,10.29
mergui,18.42,78.8,69,40,9.17
olinda,11.72,81.54,94,32,21.7
samusu,36.66,52,52,0,2.24
teknaf,63.59,44.6,45,90,10.29
belyy yar,45.9,26.01,45,5,11.41
plettenberg bay,-45.87,64.4,83,0,23.04
puro,7.98,76.59,100,92,9.28
terrace,13.18,71.6,83,5,9.17
chimoio,62.78,34,93,90,13.87
mataram,3.25,77,69,40,8.05
garissa,64.25,36.45,100,48,7.94
marsabit,57.85,18.81,54,56,3.02
fare,-45.87,66,77,92,5.99
alta floresta,60.72,43,75,75,19.46
mwingi,44.18,41.13,89,0,5.37
marzuq,-3.2,78.75,84,80,4.36
burnie,-3.38,78.48,91,20,2.35
ulaanbaatar,41.42,38.79,61,0,11.3
cottonwood,27.87,64.4,18,0,11.41
omsukchan,31.5,55.4,43,75,5.82
nizhneudinsk,65.58,3.24,99,8,21.59
danville,0.56,73.62,95,88,2.91
sioux lookout,21.43,47.88,73,0,3.91
namalenga,63.05,0.81,100,12,2.91
santa maria,51.13,45,75,80,13.87
bitlis,-5.11,75.33,92,44,5.03
fort frances,-34.61,53.46,85,0,3.58
alice town,37.05,57.99,41,0,2.24
polson,16.86,80.6,88,75,6.93
poso,-20.74,91.26,47,0,8.16
rungata,22.93,57.06,84,0,2.01
kincardine,40.58,35.6,87,40,5.82
alice,50.81,39.15,89,12,10.96
amatlan,58.67,30.96,93,80,14.76
rajanpur,24.8,75.2,69,75,13.87
roald,41.55,48.2,74,1,8.05
vega de alatorre,2.39,86,58,40,2.13
san juan bautista,30.69,51.8,87,20,3.36
domoni,9.6,65.7,35,0,7.38
ifakara,29.28,32.13,86,20,1.01
amazar,-26.5,56.52,70,0,2.8
sahrak,-34.68,72,94,0,8.05
zolotukhino,61.92,8.19,100,32,7.38
brun,-19.06,82.4,78,92,10.29
bow island,24.9,77.58,98,64,4.59
ukiah,40.36,39.99,94,0,3
bontang,51.48,31.32,96,0,5.37
laredo,58.19,25.92,91,92,5.48
moree,36.62,78.8,35,1,5.82
umm lajj,-3.71,81,83,0,2.24
sabha,13.6,60.21,19,0,12.64
malwan,39,45,38,75,9.17
kanbe,11.74,69.57,82,0,5.7
pio ix,29.06,60.8,77,20,10.29
muyezerskiy,44.39,42.8,81,0,4.7
bournemouth,61.47,17.01,85,24,5.7
odweyne,51.64,50,71,0,10.29
road town,66.66,8.1,74,92,4.47
pandan,27.57,75.2,29,40,4.7
tateyama,-6.38,51.21,91,36,1.34
mayo,9.03,69.93,78,0,2.8
sackville,-33.38,81,34,12,1.01
comodoro rivadavia,-22.12,61,95,20,4
eyl,40.67,18.81,71,0,1.01
gunjur,39.24,44.6,38,1,5.59
sola,53.59,25.11,100,88,11.97
miranda,-18.06,64.44,59,24,3.91
hofn,15.86,84.2,70,75,9.28
bodaybo,60.47,4.5,84,8,3.91
dunedin,16.99,80.6,88,75,6.93
whitehorse,-32.48,72,97,88,4.03
shieli,7.3,67.95,44,24,4.25
altamira,45.82,23,49,20,4.7
maues,-4.38,75.2,100,75,4.25
saldanha,49,37.89,70,76,7.05
adrar,17.01,77,78,40,4.7
kushima,38.9,45,38,1,3.69
lavrentiya,50.72,32.22,81,88,2.91
makokou,-19.53,69.21,93,36,2.8
mecca,53.19,29.79,94,88,4.59
beringovskiy,16.13,84.51,81,0,4.92
nieuwpoort,60.71,11.88,60,0,3.58
macau,26.58,72.45,38,0,4.47
tabiauea,52.55,28.89,80,0,10.29
san rafael,-10.46,83.79,100,44,11.3
iwaki,-17.88,74.07,95,48,6.38
acapulco,32.07,62.64,72,0,9.06
karratha,2.02,81.9,78,24,2.91
jujuy,56.17,20.61,68,36,7.72
nizwa,14.35,73.08,63,44,2.8
galveston,33.7,51.01,61,1,11.63
horodnytsya,45.29,41,100,80,4.47
vesyegonsk,43.97,44.6,48,1,5.82
hirara,33.3,51.8,62,0,12.75
greeley,19.67,79.74,53,0,2.91
